I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-12.19,-5.99,8.29,9.25,-10.76,1.0,-38.66,-26.16,-18.42,29.43,-34.47,-21.46
-14.71,-7.37,10.05,11.2,-13.0,1.14,-45.91,-36.25,-23.51,41.18,-48.17,-30.67
-17.68,-9.01,12.12,13.5,-15.65,1.31,-54.33,-46.9,-29.24,53.77,-64.59,-41.23
-21.15,-10.92,14.54,16.18,-18.73,1.51,-63.97,-57.91,-35.61,66.81,-83.39,-52.82
-24.81,-12.93,17.08,19.0,-21.98,1.72,-74.6,-71.34,-43.07,83.12,-107.25,-67.58
-28.76,-15.1,19.83,22.05,-25.5,1.95,-86.37,-86.72,-51.57,102.19,-136.01,-85.24
-32.65,-17.28,21.76,25.12,-28.47,1.77,-94.31,-98.07,-57.56,114.33,-159.09,-98.63
-36.4,-19.44,22.73,28.18,-30.81,1.14,-97.94,-105.08,-60.77,119.02,-176.05,-107.46
-40.28,-21.69,23.29,31.37,-32.95,0.26,-99.7,-110.28,-62.86,120.5,-192.0,-115.02
-44.17,-23.99,23.14,34.64,-34.66,-0.99,-98.17,-112.07,-62.83,116.16,-204.22,-119.46
-48.21,-26.39,22.82,38.05,-36.34,-2.38,-96.21,-113.34,-62.9,112.26,-211.37,-121.27
-52.43,-28.9,22.36,41.62,-38.01,-3.88,-93.94,-114.17,-63.17,109.12,-213.18,-120.37
-56.66,-31.46,21.21,45.27,-39.27,-5.75,-88.7,-111.66,-61.69,101.35,-207.83,-114.8
-60.93,-34.08,19.48,49.01,-40.19,-7.93,-81.02,-106.28,-58.9,90.22,-194.49,-104.37
-64.14,-36.92,17.98,52.2,-40.87,-10.11,-74.59,-103.99,-57.22,81.14,-189.15,-98.63
-66.17,-40.01,16.71,54.78,-41.24,-12.3,-69.36,-104.85,-56.63,73.91,-192.48,-97.91
-67.52,-43.27,15.33,57.04,-41.29,-14.64,-63.86,-106.25,-56.23,66.73,-195.72,-97.2
-67.87,-46.74,14.03,58.79,-41.02,-17.04,-58.99,-109.65,-56.59,60.88,-202.78,-98.87
-67.81,-50.3,12.17,60.37,-40.24,-19.77,-51.79,-110.67,-55.76,51.71,-203.13,-97.78
-67.34,-53.95,9.69,61.79,-38.93,-22.83,-42.07,-108.96,-53.61,38.97,-195.49,-93.34
-65.86,-57.78,7.07,62.71,-37.16,-26.07,-31.98,-107.89,-51.59,25.98,-188.16,-90.0
-63.46,-61.78,4.16,63.17,-34.86,-29.52,-20.83,-106.43,-49.27,11.68,-178.47,-86.55
-62.12,-64.78,1.85,63.8,-33.23,-32.18,-11.75,-105.24,-47.37,-0.14,-169.11,-83.17
-61.92,-66.7,0.26,64.61,-32.38,-33.93,-5.28,-104.71,-46.12,-8.79,-161.1,-80.41
-61.95,-68.04,-1.13,65.3,-31.68,-35.3,0.56,-103.82,-44.85,-16.8,-151.1,-77.34
-62.75,-68.49,-2.05,66.04,-31.47,-35.97,4.84,-102.81,-43.8,-23.02,-139.98,-74.15
-62.96,-68.71,-2.93,66.35,-31.03,-36.51,8.86,-102.08,-42.9,-28.84,-127.72,-71.72
-62.5,-68.75,-3.78,66.17,-30.31,-36.94,12.75,-101.53,-42.1,-34.42,-113.92,-70.01
-62.47,-67.94,-4.17,65.87,-29.95,-36.73,15.0,-101.23,-41.67,-38.03,-99.32,-68.84
-62.57,-66.43,-4.18,65.34,-29.81,-35.96,15.86,-101.23,-41.59,-39.91,-83.79,-68.42
-61.55,-65.0,-4.62,64.2,-28.95,-35.44,18.38,-100.24,-40.84,-43.97,-69.09,-66.47
-59.42,-63.62,-5.52,62.46,-27.37,-35.17,22.61,-98.19,-39.36,-50.28,-55.54,-62.82
-56.56,-61.98,-6.51,60.19,-25.43,-34.82,27.21,-95.76,-37.67,-57.07,-42.2,-58.76
